line_key,line_name,location_direction,affected_area,location_from_km,location_to_km,restriction_occurrences,distinct_tsr_count,first_seen_notice_date,last_seen_notice_date
UNCLASSIFIED,Unclassified,Unknown,Speed Imposed Cancelled Beyond Service 21.012km- 26.000km N/A,21.012,21.012,30,1,2025-06-29,2026-04-26
MTM,Midland Line,Unknown,MTMDN 11.9300km TO 12.3150km,11.93,12.315,29,1,2023-04-01,2023-10-15
FTM,Fremantle Line,Unknown,FTMUP 0.1600km - 0.6700km,0.16,0.67,28,5,2023-11-12,2024-07-21
FTM,Fremantle Line,Unknown,Railway between (km) Speed Imposed Restriction Cancelled Fremantle - Section,,,28,3,2020-12-05,2021-08-14
JTMUP,Joondalup Line,Up,Up Main issues Joondalup JTMDN 25.960km to 25.848km,25.848,25.96,28,1,2021-11-06,2022-10-01
RTM,Mandurah Line,Unknown,RTMUP 37.000km - 37.300km,37.3,37.3,28,1,2025-04-06,2025-10-12
JTM,Joondalup Line,Unknown,JTMDN 25.630km - 25.960km,25.63,25.96,27,1,2025-12-28,2026-06-28
MTM,Midland Line,Unknown,MTMDN 9.540km - 9.671km,9.54,9.671,27,1,2024-11-24,2025-05-25
MTM,Midland Line,Unknown,MTMUP 12.0000km TO 12.1000km,12.1,12.1,27,1,2023-04-01,2023-10-01
MTM,Midland Line,Unknown,MTMDN 11.9300km - 12.3150km,11.93,12.315,26,1,2023-11-12,2024-05-12
UNCLASSIFIED,Unclassified,Unknown,Speed Imposed Restriction Cancelled FTMBI 21.012km to 26.000km,21.012,21.012,26,2,2022-12-24,2023-06-18
CTM,City / Central Area,Unknown,CTMDN 1.872km - 1.872km,1.872,1.872,25,4,2025-08-10,2026-01-25
JTMDN,Joondalup Line,Down,Down Main issues Joondalup 25.960km to 25.848km,25.848,25.96,25,1,2020-12-19,2021-08-14
MTMDN,Midland Line,Down,Down Main design issues Bassendean MTMUP 8.200km to 8.100km,8.1,8.2,25,2,2021-11-06,2022-10-01
UNCLASSIFIED,Unclassified,Down,Lawley Down Main Mount MTMUP 0.717km to 1.625km,0.717,1.625,25,2,2021-11-06,2022-10-01
UNCLASSIFIED,Unclassified,Unknown,Mundijong to Byford,,,25,1,2020-02-01,2020-08-01
FTM,Fremantle Line,Unknown,FTMDN 6.800KM - 7.170km,6.8,7.17,24,2,2024-09-08,2025-03-23
JTM,Joondalup Line,Unknown,JTMDN 19.1500km - 20.1500km 2 1 - 0 6 - 0 24,19.15,20.15,24,1,2024-01-14,2024-06-30
JTM,Joondalup Line,Unknown,JTMUP 19.1500km - 20.1500km,19.15,20.15,24,1,2024-02-04,2024-07-21
JTMUP,Joondalup Line,Up,Up Main issues Joondalup 25.848km to 25.960km,25.848,25.96,24,1,2020-12-19,2021-07-17
JTMUP,Joondalup Line,Up,Up Main issues Whitfords JTMDN 19.150 to 20.150km,19.15,20.15,24,1,2022-02-26,2022-10-01
RTM,Mandurah Line,Unknown,RTMDN 21.0800km to 21.2550km,21.08,21.255,24,1,2022-12-24,2023-06-04
UNCLASSIFIED,Unclassified,Bidirectional,Mundijong Bi-Directional Claisebrook FTMUP 0.160km to 0.950km,0.16,0.95,24,1,2022-02-26,2022-10-01
UNCLASSIFIED,Unclassified,Unknown,Speed Imposed Restriction Cancelled Beyond Service 21.012km - 26.000km N/A,21.012,21.012,24,1,2024-09-08,2025-03-23
FTM,Fremantle Line,Unknown,FTMDN 0.580km - 1.025km,0.58,1.025,23,1,2024-09-08,2025-03-16
MTM,Midland Line,Unknown,MTMDN 3.5000km TO 5.1000km,3.5,5.1,23,2,2023-05-14,2023-10-01
MTM,Midland Line,Unknown,MTMUP 9.548km - 9.360km,9.36,9.548,23,3,2025-09-14,2026-02-15
RTM,Mandurah Line,Unknown,Kwinana to Wellard,,,23,2,2020-02-15,2020-08-01
UNCLASSIFIED,Unclassified,Unknown,Beyond Service 21.012km- N/A,21.012,21.012,23,1,2025-07-06,2026-06-28
UNCLASSIFIED,Unclassified,Unknown,Beyond Service 40.747km -,40.747,40.747,23,2,2025-07-06,2026-06-28
FTM,Fremantle Line,Unknown,FTMUP 0.1600km - 0.281 km,0.16,0.281,22,2,2025-11-30,2026-04-26
FTMUP,Fremantle Line,Up,Fremantle Up Main Karrakatta 9.580km Fremantle Up,9.58,9.58,22,3,2021-04-06,2021-09-11
MTM,Midland Line,Unknown,MTMDN 13.594km - 13.695km,13.594,13.695,22,3,2024-07-28,2025-01-26
FTM,Fremantle Line,Unknown,FTMUP 6.9500km - 7.1700km,6.95,7.17,21,5,2023-11-12,2024-07-21
MTM,Midland Line,Unknown,MTMUP 3.5000km TO 5.1000km,3.5,5.1,21,1,2023-05-28,2023-10-15
RTM,Mandurah Line,Unknown,Warnbro to Rockingham,,,21,4,2020-02-01,2020-06-27
FTM,Fremantle Line,Unknown,FTMDN 8.862km - 8.310km,8.31,8.862,20,1,2024-08-18,2025-02-02
FTM,Fremantle Line,Unknown,FTMUP 19.440km - 19.793km,19.44,19.793,20,2,2025-11-30,2026-04-12
FTM,Fremantle Line,Unknown,Railway Speed Imposed Restriction Cancelled Fremantle - FTMBI 21.012km to 26.000km,21.012,21.012,20,2,2021-11-06,2022-10-01
JTM,Joondalup Line,Unknown,JTMDM 25.848km - 25.960km,25.848,25.96,20,1,2024-03-24,2024-09-15
MTMUP,Midland Line,Up,to Byford Up Direction Bassendean 7.900km to 8.150km,7.9,8.15,20,1,2020-12-19,2021-08-14
UNCLASSIFIED,Unclassified,Unknown,Speed Imposed Cancelled FTMBI 21.012km to 26.000km,21.012,21.012,20,1,2023-06-25,2023-11-05
UNCLASSIFIED,Unclassified,Up,Up Main Dalziel St ATMUP 16.820km to 17.000km,16.82,16.82,20,1,2021-11-13,2022-10-01
FTM,Fremantle Line,Unknown,FTMDN 19.039km - 19.750km,19.039,19.75,19,2,2025-08-31,2026-01-04
FTM,Fremantle Line,Unknown,FTMUP 0.1600km - 0.800km,0.16,0.8,19,1,2025-07-20,2025-11-23
FTM,Fremantle Line,Unknown,FTMUP 14.8800km - 15.2780km,14.88,15.278,19,3,2023-12-03,2024-04-14
FTM,Fremantle Line,Unknown,Robbs Jetty Crossing Review Mundijong 40.874km to 40.747km,40.747,40.874,19,1,2020-12-19,2021-08-14
JTMUP,Joondalup Line,Up,Up Main issues Joondalup JTMUP 25.848km to 25.960km,25.848,25.96,19,1,2021-11-06,2022-10-01
MTM,Midland Line,Unknown,MTMUP 0.717km - 1.625km,0.717,1.625,19,1,2024-07-28,2025-01-05
RTM,Mandurah Line,Unknown,RTMDN 20.7700km to 21.2550km,20.77,21.255,19,1,2023-07-02,2023-11-05
UNCLASSIFIED,Unclassified,Down,Down Main issues Karrakatta FTMUP 9.580km 7,9.58,9.58,19,2,2021-11-06,2022-10-01
ATMUP,Armadale Line,Up,Lawley Up Main Armadale - ATMBI 40.747km to 40.874km,40.747,40.874,18,1,2022-04-16,2022-10-01
JTMDN,Joondalup Line,Down,Lawley Down Main Whitfords 19.150 to 20.150km,19.15,20.15,18,2,2020-12-19,2021-07-17
UNCLASSIFIED,Unclassified,Up,Up Main East MTMDN 11.930km to 12.315km,11.93,12.315,18,1,2022-04-16,2022-10-01
UNCLASSIFIED,Unclassified,Up,Up Main design issues Mount MTMDN 0.800 to 1.300km,0.8,1.3,18,1,2022-04-16,2022-10-01
JTMDN,Joondalup Line,Down,Down Main design issues Whitfords 20.150km to 19.150km,19.15,20.15,17,2,2021-04-06,2021-08-14
JTM,Joondalup Line,Unknown,JTMUP 19.220km - 19.328km,19.22,19.328,16,3,2026-03-15,2026-06-28
MTMDN,Midland Line,Down,Down Main design issues Bassendean 8.200km to 8.100km,8.1,8.2,16,2,2021-04-06,2021-07-24
ATM,Armadale Line,Unknown,Oats St,,,15,1,2019-11-16,2020-02-22
ATMDN,Armadale Line,Down,Down Main Gosnells ATMUP 19.294km to 19.507,19.294,19.507,15,1,2022-05-21,2022-10-01
FTM,Fremantle Line,Unknown,FTMUP 19.4800km - 20.0200km,19.48,20.02,15,1,2023-11-12,2024-02-18
FTMBI,Fremantle Line,Bidirectional,Robbs Jetty B-Directional Crossing Review Bassendean MTMDN 7.900km to 8.150km,7.9,8.15,15,1,2021-11-06,2022-10-01
MTM,Midland Line,Unknown,MTMDN 13.5940km - 13.6950km,13.594,13.695,15,1,2024-04-14,2024-07-21
MTM,Midland Line,Unknown,MTMDN 2.200km - 2.700km,2.2,2.7,15,1,2024-09-08,2025-01-19
ATM,Armadale Line,Unknown,Kelmscott to Sherwood,,,14,1,2020-01-11,2020-04-11
MTM,Midland Line,Unknown,40.874km MTMDN 7.900km - 8.150km 40.874km MTMDN 7.900km - 8.150km,7.9,40.874,14,2,2025-07-06,2025-10-05
RTM,Mandurah Line,Unknown,compliance Cockburn RTMDN 20.616km to 21.250km,20.616,21.25,14,1,2022-05-28,2022-10-01
RTM,Mandurah Line,Unknown,compliance Cockburn RTMDN 20.880km to 21.250km,20.88,21.25,14,1,2022-01-29,2022-05-21
UNCLASSIFIED,Unclassified,Unknown,Curve Wear & RCF FTMUP 14.8800km - 15.2780km,14.88,15.278,14,3,2024-04-21,2024-07-21
FTM,Fremantle Line,Unknown,FTMUP 1.4500km - 1.9300km,1.45,1.93,13,3,2023-11-12,2024-02-18
FTM,Fremantle Line,Unknown,Fremantle - Robbs Pedestrian Crossing September Section,,,13,1,2018-09-01,2018-11-24
FTM,Fremantle Line,Unknown,Fremantle - Robbs Section,,,13,3,2019-03-23,2019-07-13
FTM,Fremantle Line,Unknown,Robbs Jetty Directional Crossing Review Bassendean MTMDN 7.900km to 8.150km,7.9,8.15,13,1,2021-11-13,2022-05-21
MTM,Midland Line,Unknown,MTMDN 0.660km - 1.200km,0.66,1.2,13,1,2024-10-06,2025-02-02
UNCLASSIFIED,Unclassified,Unknown,RRP Scope ATMUP 16.8200km - 17.0000km,16.82,16.82,13,2,2024-01-28,2024-05-05
CTM,City / Central Area,Unknown,CTMUP 0.948km - 1.069km,0.948,1.069,12,2,2026-02-08,2026-04-26
FTM,Fremantle Line,Unknown,FTMDM 18.4250km - 18.5970km,18.425,18.597,12,6,2024-01-21,2024-04-14
JTM,Joondalup Line,Unknown,JTMUP 19.1500KM - 20.1500km,19.15,20.15,12,1,2023-11-12,2024-01-28
MTM,Midland Line,Unknown,MTMDN 0.580km - 0.800km,0.58,0.8,12,1,2026-04-12,2026-06-28
MTM,Midland Line,Unknown,MTMDN 9.5600km - 9.6800km,9.56,9.68,12,2,2023-11-12,2024-01-28
UNCLASSIFIED,Unclassified,Unknown,ARMUP 19.294km - 19.507km,19.294,19.507,12,1,2024-07-28,2024-10-13
UNCLASSIFIED,Unclassified,Unknown,Speed Imposed Restriction Cancelled Beyond Service 21.012km- 26.000km N/A,21.012,21.012,12,1,2025-04-06,2025-06-22
UNCLASSIFIED,Unclassified,Up,Up Main issues Mount 0.800 to 1.300km,0.8,1.3,12,1,2021-04-24,2021-07-17
UNCLASSIFIED,Unclassified,Unknown,ARMUP 16.820km - 17.000km,16.82,16.82,11,1,2024-07-28,2024-10-13
UNCLASSIFIED,Unclassified,Down,Down Main Dalziel St ATMUP 16.820km to 17.000km,16.82,16.82,11,1,2021-12-04,2022-04-02
ATM,Armadale Line,Unknown,ATMUP 16.820km to 17.000km Dalziel St,16.82,16.82,10,1,2022-10-08,2022-12-17
ATM,Armadale Line,Unknown,ATMUP 19.2940km - 19.5070km,19.294,19.507,10,8,2023-11-12,2024-01-21
ATM,Armadale Line,Unknown,Central 1114A points Gosnells ATMUP 19.294km to 19.507,19.294,19.507,10,1,2022-10-08,2022-12-17
ATM,Armadale Line,Unknown,Extreme weather Mundijong ATMBI 34.800 km to 34.900 km,34.8,34.9,10,1,2022-10-08,2022-12-17
ATM,Armadale Line,Unknown,Rail Surface Kelmscott ATMDN 23.050 km to 23.400 km,23.05,23.4,10,1,2022-10-08,2022-12-17
ATMBI,Armadale Line,Bidirectional,Armadale - ATMBI 40.747km to 40.874km Bi-,40.747,40.874,10,1,2022-10-08,2022-12-17
ATMDN,Armadale Line,Down,12.725km to 12.955km Beckenham Down Main Armadale Line 12.725km to 12.955km Beckenham Down Main Armadale Line,12.725,12.955,10,1,2020-09-12,2020-11-28
FTM,Fremantle Line,Unknown,FTMUP 18.667km - 19.958km,18.667,19.958,10,1,2025-03-09,2025-06-22
FTM,Fremantle Line,Unknown,Fremantle - FTMBI 21.012km to 26.000km B- Pedestrian,21.012,21.012,10,1,2022-10-08,2022-12-17
FTM,Fremantle Line,Unknown,Shenton Structural FTMDN 6.950km to 7.170 km,6.95,7.17,10,1,2022-10-08,2022-12-17
FTM,Fremantle Line,Unknown,Shenton Structural FTMUP 6.950km to 7.170 km,6.95,7.17,10,1,2022-10-08,2022-12-17
FTMUP,Fremantle Line,Up,FTMUP 0.160km to 0.950km Up 31-Dec- Claisebrook,0.16,0.95,10,1,2022-10-08,2022-12-17
FTMUP,Fremantle Line,Up,FTMUP 9.580km Up 15-Feb- Loch St Ped Xing Karrakatta,9.58,9.58,10,1,2022-10-08,2022-12-17
JTM,Joondalup Line,Unknown,JTMDN 25.960km to 25.848km Turnout design Joondalup,25.848,25.96,10,1,2022-10-08,2022-12-17
JTM,Joondalup Line,Unknown,JTMUP 8.689km- 8.890km,8.689,8.89,10,1,2024-03-24,2024-06-02
JTMDN,Joondalup Line,Down,JTMDN 19.150 to 20.150km Down Turnout defects & Whitfords,19.15,20.15,10,1,2022-10-08,2022-12-17
JTMUP,Joondalup Line,Up,JTMUP 20.150km to 19.150km Up 17-Sep- Turnout defects & Whitfords,19.15,20.15,10,1,2022-10-08,2022-12-17
JTMUP,Joondalup Line,Up,JTMUP 25.848km to 25.960km Up Turnout design Joondalup,25.848,25.96,10,1,2022-10-08,2022-12-17
MTMDN,Midland Line,Down,MTMDN 7.900km to 8.150km Down 27-Mar- Turnout defects & Bassendean,7.9,8.15,10,1,2022-10-08,2022-12-17
MTMUP,Midland Line,Up,MTMUP 8.200km to 8.100km Up Turnout design Bassendean,8.1,8.2,10,1,2022-10-08,2022-12-17
RTM,Mandurah Line,Unknown,Cockburn Geometry defect RTMDN 21.080 km to 21.250km,21.08,21.25,10,1,2022-10-08,2022-12-17
RTM,Mandurah Line,Unknown,Glen Iris to Cockburn,,,10,1,2020-02-15,2020-04-18
RTM,Mandurah Line,Unknown,Rockingham,,,10,3,2020-06-20,2020-09-05
UNCLASSIFIED,Unclassified,Down,0.900 to 1.300km Down Mount Lawley 0.900 to 1.300km Down Mount Lawley,0.9,1.3,10,1,2020-09-12,2020-11-28
UNCLASSIFIED,Unclassified,Unknown,22 Defect Welshpool ATMUP 9.540km to 9.440km,9.44,9.54,10,1,2022-10-08,2022-12-17
UNCLASSIFIED,Unclassified,Unknown,East MTMDN 11.930km to 12.315km 18-Dec-,11.93,12.315,10,1,2022-10-08,2022-12-17
UNCLASSIFIED,Unclassified,Down,Mount MTMDN 0.800 to 1.300km Down,0.8,1.3,10,1,2022-10-08,2022-12-17
UNCLASSIFIED,Unclassified,Up,Mount MTMUP 0.717km to 1.625km Up 28-Sep-,0.717,1.625,10,1,2022-10-08,2022-12-17
ATM,Armadale Line,Unknown,ATMUP 16.8200km - 17.0000km,16.82,16.82,9,1,2023-11-26,2024-01-21
ATMUP,Armadale Line,Up,Up Main issues Beckenham 12.725km to 12.955km,12.725,12.955,9,2,2020-12-19,2021-02-27
CTM,City / Central Area,Unknown,40.874km CTMUP 0.948km - 1.069km 40.874km CTMUP 0.948km - 1.069km,0.948,40.874,9,2,2026-05-03,2026-06-28
FTM,Fremantle Line,Unknown,FTMBI 19.2200km - 19.4500km,19.22,19.45,9,1,2023-11-12,2024-01-07
FTM,Fremantle Line,Unknown,FTMDN 19.750km - 19.390km,19.39,19.75,9,1,2025-06-22,2025-08-17
FTM,Fremantle Line,Unknown,FTMDN 6.9500km - 7.1700km,6.95,7.17,9,1,2023-11-12,2024-01-07
FTM,Fremantle Line,Unknown,Fremantle - Pedestrian Crossing Section,,,9,1,2020-09-12,2020-11-07
FTM,Fremantle Line,Unknown,Railway Speed Imposed Restriction Cancelled Fremantle - FTMBI 21.012km to 26.000km B-,21.012,21.012,9,1,2021-11-13,2022-02-19
FTMUP,Fremantle Line,Up,Mundijong Directional Claisebrook FTMUP 0.160km to 0.950km Up,0.16,0.95,9,1,2021-11-13,2022-02-19
JTM,Joondalup Line,Unknown,25.848km to 25.960km Joondalup 25.848km to 25.960km Joondalup,25.848,25.96,9,1,2020-09-12,2020-11-07
JTM,Joondalup Line,Unknown,JTMDN 19.1500km - 20.1500km 2 1 - 0 6 - 0 2 4,19.15,20.15,9,2,2023-11-12,2024-01-07
JTM,Joondalup Line,Unknown,JTMDN 25.630km- 25.960km,25.63,25.96,9,3,2025-11-30,2026-01-25
JTM,Joondalup Line,Unknown,JTMDN 32.6200km - 32.7500km,32.62,32.75,9,1,2023-11-12,2024-01-07
JTM,Joondalup Line,Unknown,JTMUP 0.8350km - 0.9070km,0.835,0.907,9,2,2024-02-04,2024-04-28
JTM,Joondalup Line,Unknown,JTMUP 27.000 - 27.390km,27.39,27.39,9,2,2025-12-21,2026-02-15
JTM,Joondalup Line,Unknown,Main issues Joondalup JTMUP 25.848km to 25.960km,25.848,25.96,9,1,2021-11-13,2022-02-19
JTM,Joondalup Line,Unknown,issues Whitfords 20.150km to 19.150km,19.15,20.15,9,1,2020-12-19,2021-02-27
JTMUP,Joondalup Line,Up,25.960km to 25.848km Up Joondalup 25.960km to 25.848km Up Joondalup,25.848,25.96,9,1,2020-09-12,2020-11-07
MTM,Midland Line,Unknown,MTMDN 11.9300km to 12.3150km,11.93,12.315,9,1,2023-01-28,2023-11-05
MTM,Midland Line,Unknown,issues Bassendean 8.200km to 8.100km,8.1,8.2,9,1,2020-12-19,2021-02-27
MTMDN,Midland Line,Down,Down Main design issues Bassendean MTMUP 8.200km to 8.100km Up,8.1,8.2,9,1,2021-11-13,2022-02-19
MTMUP,Midland Line,Up,8.200km to 8.100km Up Bassendean 8.200km to 8.100km Up Bassendean,8.1,8.2,9,1,2020-09-12,2020-11-07
TTM,Thornlie Line,Unknown,Thornlie Line North 18.800 to 18.920km,18.8,18.92,9,1,2020-12-19,2021-02-27
UNCLASSIFIED,Unclassified,Down,Down Main City 0.875km to 1.650km,0.875,1.65,9,1,2021-01-23,2021-04-17
UNCLASSIFIED,Unclassified,Down,Down Main issues Karrakatta FTMUP 9.580km Up,9.58,9.58,9,1,2021-11-13,2022-02-19
UNCLASSIFIED,Unclassified,Up,Lawley Main Mount MTMUP 0.717km to 1.625km Up,0.717,1.625,9,1,2021-11-13,2022-02-19
UNCLASSIFIED,Unclassified,Bidirectional,Main Abernethy ATMBI 36.734km to 36.834km Bi-,36.734,36.834,9,1,2021-11-13,2022-02-19
UNCLASSIFIED,Unclassified,Up,Mundijong to 40.874km to 40.747km Up,40.747,40.874,9,1,2020-09-12,2020-11-07
ATMUP,Armadale Line,Up,Armadale Up Main Works Denny Ave 24.560km to 25.540km,24.56,25.54,8,2,2021-05-08,2021-07-03
FTM,Fremantle Line,Unknown,FTMUP 20.767km - 21.150km,20.767,21.15,8,1,2025-03-09,2025-06-01
JTM,Joondalup Line,Unknown,2.4 Leederville- Stirling 65 to 2.780 2.4 Leederville- Stirling 65 to 2.780,2.4,2.78,8,2,2019-03-23,2019-05-25
MTM,Midland Line,Unknown,MTMDN 0.660km - 1.300km,0.66,1.3,8,2,2024-07-28,2024-09-22
UNCLASSIFIED,Unclassified,Down,North 18.800 to 18.920km Down,18.8,18.92,8,1,2020-09-12,2020-10-31
UNCLASSIFIED,Unclassified,Up,Up Main Abernethy ATMBI 36.734km to 36.834km,36.734,36.834,8,2,2021-11-06,2022-04-16
ATM,Armadale Line,Unknown,25.975 to 27th August Kelmscott to Challis 25.975 to 27th August Kelmscott to Challis,25.975,25.975,7,1,2019-08-24,2019-10-05
ATM,Armadale Line,Unknown,Gosnells to 19.300 to 6th November,19.3,19.3,7,1,2019-08-24,2019-10-05
ATM,Armadale Line,Unknown,Kelmscott to Challis,,,7,2,2019-11-02,2019-12-14
ATMDN,Armadale Line,Down,Armadale Down Main Works Abernethy 36.734km to 36.834km,36.734,36.834,7,1,2021-05-15,2021-07-03
ATMDN,Armadale Line,Down,Mandurah Down Main Armadale 29.350km to 29.710km,29.35,29.71,7,1,2021-09-11,2021-10-30
FTM,Fremantle Line,Unknown,Fremantle - Robbs Pedestrian Crossing TBA Section,,,7,1,2019-08-24,2019-10-05
JTM,Joondalup Line,Yard,Across 37 & 38 2nd October Nowergup Yard,,,7,1,2019-08-24,2019-10-05
JTM,Joondalup Line,Unknown,JTMUP 2.167km - 2.709,2.167,2.709,7,1,2024-12-01,2025-01-12
JTM,Joondalup Line,Unknown,Joondalup to Edgewater,,,7,1,2020-03-07,2020-04-18
JTM,Joondalup Line,Unknown,Leederville 2.465 to 2.780 Sleeper Condition on 17th October,2.465,2.78,7,1,2019-08-24,2019-10-05
JTM,Joondalup Line,Unknown,Warwick 13.350km to 13.460km,13.35,13.46,7,1,2021-09-11,2021-10-30
MDM,Mandurah Line,Unknown,MDMDN 0.6600km to 1.3000km,0.66,1.3,7,1,2023-09-03,2023-10-15
UNCLASSIFIED,Unclassified,Down,City Down Main Claisebrook 0.875km to 1.650km,0.875,1.65,7,1,2021-05-15,2021-07-03
UNCLASSIFIED,Unclassified,Up,City Up Main Claisebrook 0.850km to 0.950km,0.85,0.95,7,1,2021-05-15,2021-07-03
UNCLASSIFIED,Unclassified,Unknown,Main Works Denny Ave 24.560km to 25.140km,24.56,25.14,7,1,2021-05-15,2021-07-03
