reason_group,reason_raw,restriction_occurrences,distinct_tsr_count
Turnout / points,April 2020 Turnout de sign iss ues,6,2
Ballast / formation,11-Feb-26 Earthworks Compromised,5,1
Ballast / formation,9-Sep-22 Ballast / Formation,5,1
Level crossing / pedestrian crossing,Sep-11 Pedestrian Crossing Issue,5,1
Level crossing / pedestrian crossing,Sept 2011 Pedestrian Crossing Indefinite Robbs Jetty B-Directional Review,5,1
New rail / weld,22-Sep-25 New Rail,5,1
New rail / weld,29- May-25 Weld Defect,5,1
Other / review required,23-Jul-22 Extreme weather event,5,1
Rail internal defect,09-Nov-25 Rail Internal Defect,5,1
Rail internal defect,21-Feb-25 Rail Internal Defect,5,1
Track condition,30th Rail Defect June,5,1
Track condition,Track condition,5,1
Track geometry,29-Oct-22 Track Geometry,5,1
Track geometry,Track Geometry Pending,5,1
Level crossing / pedestrian crossing,estrian Crossing,4,2
Other / review required,21 A pril 2020 Tur nout design issues,4,1
Platform / station,Facilities - City TBC Up Main West Platform,4,1
Track condition,1114A pts multiple rail defects,4,1
Track condition,6-Mar-25 Heat Kick,4,1
Track condition,Rail Defect,4,1
Track condition,Rail defect 14.460km Down 2019,4,1
Track condition,Track Defects Pending,4,1
Track geometry,08-Feb-24 Track Geometry,4,1
Track geometry,3-Oct-23 Track Geometry,4,2
Turnout / points,08-Jan-24 Points Fault,4,1
Turnout / points,16-Jan-24 Points Fault March 2024,4,1
Turnout / points,16-Jan-24 Turnout 06/02/2024,4,1
Turnout / points,27- Feb- 26 Turnout 05/04/2026,4,1
Turnout / points,Turnouts,4,2
Ballast / formation,17-Oct-23 Ballast / Formation,3,1
Level crossing / pedestrian crossing,01-Sep-11 Pedestrian Crossing Issue Indefinite Beyond Service 40.7470km,3,1
Noise mitigation,Excessive Noise & Rail,3,1
Other / review required,09-Jan-24 TBD Damage,3,1
Other / review required,22-Apr-22 Miscellaneous of Work,3,1
Other / review required,August 2020,3,2
Other / review required,per Condition on 27 th July 20,3,1
Platform / station,10-Dec-25 Platform Gap,3,1
Rail internal defect,25-Jan-24 Rail Internal Defect,3,1
Rail internal defect,31-Mar-23 Rail Internal Defect,3,1
Rail internal defect,5-Feb-25 Rail Internal Defect,3,2
Rail internal defect,Rail Internal Defects,3,2
Rail surface defect,Rail Surface,3,1
Signals / train control,5-Jul-23 Signals,3,1
Structures / bridge,16-Apr-24 Structural Integrity TBD by Civil,3,1
Structures / bridge,27-Oct-22 Structural Integrity TBC by Civil,3,2
Structures / bridge,27-Oct-22 Structural Integrity TBD by Civil Curve Wear & RCF,3,1
Track condition,6 Rail defects Novembe,3,1
Track condition,Rail defect 3,3,1
Track condition,Rail defect Gosnells 18.170km Down September,3,1
Track condition,Rail defects TBA Success Hill 9.040km,3,1
Track geometry,2-Sep-24 Track Geometry,3,1
Track geometry,4-Jun-2025 Track Geometry,3,1
Turnout / points,08-Feb-24 Points Fault TBD by Civil,3,1
Turnout / points,16-Jan-24 Turnout,3,2
Turnout / points,16-Jan-24 Turnout 19/04/2024,3,1
Turnout / points,28-Jul-25 Turnout 07/10/2025,3,1
Turnout / points,Points Defect Feb 2021,3,1
Works / project,22-Apr-22 RRP Scope Work of Work,3,1
Ballast / formation,04-Oct-25 Ballast/ Formation,2,1
Ballast / formation,Disturbed TBC Formation,2,1
Level crossing / pedestrian crossing,September Pedestrian Indefinite Robbs Jetty 2011 Crossing,2,1
New rail / weld,29-Jul-25 New Rail,2,1
New rail / weld,Re-Rail March 18,2,2
Noise mitigation,27 J uly 2020 E xcessive Noise,2,1
Noise mitigation,Excessive TBA Lawley Down Main Noise,2,1
Other / review required,02-Jul-24 Miscellaneous,2,1
Other / review required,02-Jul-24 Miscellaneous 3,2,1
Other / review required,05 A pril 2020 Tur nout design issues,2,1
Other / review required,1 Au gust 2020,2,1
Other / review required,1 Au gust 2020 turn out design issues,2,1
Other / review required,10-Feb-25 Miscellaneous,2,2
Other / review required,12 J une 2020 2,2,1
Other / review required,15 J une 2020 Gau ge Corner Cracking,2,1
Other / review required,17-Oct-23,2,1
Other / review required,7 M arch 2020,2,1
Other / review required,December 25th 2018,2,1
Other / review required,July 2020 Excessi ve Nois e,2,1
Other / review required,June 2020 Gauge Cor ner Cra cking,2,1
Other / review required,March 2020,2,1
Other / review required,epte mber 2011,2,1
Other / review required,tember 2011,2,1
Rail internal defect,13-Mar-25 Rail Internal Defect,2,1
Rail internal defect,14-Mar-25 Rail Internal Defect,2,1
Rail internal defect,20-Mar-24 Rail Internal Defect TBD by Civil,2,1
Rail surface defect,11-Nov-24 Rail Surface Defect,2,2
Rail surface defect,28-Jun-24 Rail Surface Defect,2,2
Rail surface defect,3-Dec-24 Rail Surface Defect,2,1
Rail surface defect,5-Aug-24 Rail Surface Defect,2,1
Rail surface defect,7-Aug-24 Rail Surface Defect,2,2
Structures / bridge,21-Mar-2024 Structural Integrity,2,1
Structures / bridge,27-Oct-2022 Structural Integrity,2,1
Structures / bridge,27-Oct-22 Structural Integrity Civil,2,1
Track condition,8 J uly 2020 Track Defects,2,1
Track condition,9 Ju ne 2020 Rail Defects 2,2,1
Track condition,Heat buckle / Rail Stress,2,1
Track condition,July 2020 Track Defects,2,1
Track condition,June 2020 Rail D efects 2,2,1
Track geometry,25-Jun-23 Track Geometry,2,1
Track geometry,4-May-23 Track Geometry,2,1
Track geometry,6-Jun-25 Track Geometry,2,1
Turnout / points,& turnout design 2020 (Raise to,2,2
Turnout / points,06-Apr-24 Turnout,2,1
Turnout / points,16-Jan-24 Turnout 18/04/2024,2,1
Turnout / points,19-Oct-23 Points Fault 01/0282024,2,1
Turnout / points,25 J une 2020 Points Defect 2,2,1
Turnout / points,28-Jul-25 Turnout 10/10/2025,2,1
Turnout / points,August 2020 turnout de sign iss ues,2,1
Turnout / points,FAL Project Points,2,1
Turnout / points,June 2020 Points Defect 2,2,1
Turnout / points,Points Defect February 2021,2,1
Turnout / points,Turnout defects & Turnout design issues,2,2
Works / project,Project Work TBC Down Main,2,1
Works / project,Project Work TBC Up Main,2,1
Ballast / formation,12-Sep-25 Ballast Formation,1,1
Ballast / formation,17-Oct-23 Ballast / Formation TBC Public Transport Authority  WEEKLY NOTICE No. 45 4,1,1
Ballast / formation,17-Oct-23 Ballast / Formation TBC Public Transport Authority  WEEKLY NOTICE No. 46 4,1,1
Ballast / formation,17-Oct-23 Ballast / Formation TBC Public Transport Authority  WEEKLY NOTICE No. 47 4,1,1
Ballast / formation,5-Sep-25 Ballast Formation,1,1
Level crossing / pedestrian crossing,Robbs Jetty Crossing Review,1,1
Level crossing / pedestrian crossing,Sept 2011 Pedestrian Crossing Indefinite Robbs Jetty Directional Review,1,1
Level crossing / pedestrian crossing,September 2011 Crossing TBA Robbs Jetty,1,1
New rail / weld,10-Jun-25 New Rail,1,1
New rail / weld,17-Jul-25 New Rail,1,1
New rail / weld,26-Aug-25 New Rail,1,1
New rail / weld,3-Feb-26 New Rail,1,1
New rail / weld,9-Sep-25 New Rail,1,1
Other / review required,03-Jul-24 Miscellaneous,1,1
Other / review required,04-Oct-25 Bog Hole,1,1
Other / review required,22-Apr-22 Miscellaneous 3,1,1
Other / review required,22-Apr-22 Miscellaneous Indefinite Public Transport Authority  WEEKLY NOTICE No. 1 4,1,1
Other / review required,22-Apr-22 Miscellaneous Indefinite Public Transport Authority  WEEKLY NOTICE No. 48 4,1,1
Other / review required,22-Apr-22 Miscellaneous Indefinite Public Transport Authority  WEEKLY NOTICE No. 49 4,1,1
Other / review required,22-Apr-22 Miscellaneous Indefinite Public Transport Authority  WEEKLY NOTICE No. 50 4,1,1
Other / review required,22-Apr-22 Miscellaneous Indefinite Public Transport Authority  WEEKLY NOTICE No. 51 4,1,1
Other / review required,22-Apr-22 Miscellaneous Indefinite Public Transport Authority  WEEKLY NOTICE No. 52 4,1,1
Other / review required,Cracking 2020,1,1
Other / review required,Due to Loch St Indefinite Up Main Ped Xing issues,1,1
Other / review required,Due to Loch St Ped Indefinite Main Xing issues,1,1
Other / review required,Exce ssive N oise,1,1
Other / review required,GCC 31 July 2020 Main,1,1
Other / review required,Gauge Corner Cracking 2020,1,1
Other / review required,Indefinite Robbs Jetty 2011 Review,1,1
Other / review required,January 2020 Signa lling Iss ues,1,1
Other / review required,March 2020 Turno ut defe cts &,1,1
Other / review required,Poi nts Def ect 2020,1,1
Other / review required,Turn out def ects,1,1
Other / review required,per Condition on A,1,1
Other / review required,ptember 2011,1,1
Rail internal defect,02-Feb-24 Rail Internal Defect,1,1
