tsr_master_id,line_key,line_name,location_direction,affected_area,latest_reason_raw,reason_group,first_seen_notice_date,last_seen_notice_date,weeks_seen,is_active,resolved_date,duration_bucket
3168,ATM,Armadale Line,Unknown,ATMUP 19.2940km - 19.5070km,22-Apr-22 Miscellaneous Indefinite Public Transport Authority  WEEKLY NOTICE No. 52 4,Other / review required,2023-12-31,2023-12-31,1,0,2023-12-31,1 week
3179,MTM,Midland Line,Unknown,MTMDN 7.900km - 8.150km,27-Mar-20 Turnout,Turnout / points,2024-01-07,2024-01-07,1,0,2024-01-07,1 week
3190,ATM,Armadale Line,Unknown,ATMUP 19.2940km - 19.5070km,22-Apr-22 Miscellaneous Indefinite Public Transport Authority  WEEKLY NOTICE No. 1 4,Other / review required,2024-01-07,2024-01-07,1,0,2024-01-07,1 week
3200,FTM,Fremantle Line,Unknown,FTMDM 319 / Subiaco,11-Jan-24 Points Fault,Turnout / points,2024-01-14,2024-01-14,1,0,2024-01-14,1 week
3201,FTM,Fremantle Line,Unknown,FTMDM 225 / McIver,11-Jan-24 Points Fault,Turnout / points,2024-01-14,2024-01-14,1,0,2024-01-14,1 week
3202,FTM,Fremantle Line,Unknown,FTMDM 225 / Claisebrook,11-Jan-24 Points Fault,Turnout / points,2024-01-14,2024-01-14,1,0,2024-01-14,1 week
3222,FTM,Fremantle Line,Unknown,FTMDM 0.8480km - 1.3690km,16-Jan-24 Points Fault,Turnout / points,2024-01-21,2024-01-21,1,0,2024-01-21,1 week
3223,FTM,Fremantle Line,Unknown,FTMDM 18.4250km - 18.5970km,16-Jan-24 Turnout,Turnout / points,2024-01-21,2024-01-21,1,0,2024-01-21,1 week
3234,ATM,Armadale Line,Unknown,ATMUP 19.2940km - 19.5070km,22-Apr-22 Miscellaneous 3,Other / review required,2024-01-21,2024-01-21,1,0,2024-01-21,1 week
3277,JTM,Joondalup Line,Unknown,JTMUP 0.8350km - 0.9070km,26-Jan-24 Points Fault,Turnout / points,2024-02-04,2024-02-04,1,0,2024-02-04,1 week
3326,FTM,Fremantle Line,Unknown,FTMUP 0.1600km - 0.6700km,27-Oct-22 Structural Integrity TBC by Civil,Structures / bridge,2024-02-25,2024-02-25,1,0,2024-02-25,1 week
3328,UNCLASSIFIED,Unclassified,Unknown,TBC FTMUP 14.8800km - 15.2780km,09-Jan-24 Track Geometry,Track geometry,2024-02-25,2024-02-25,1,0,2024-02-25,1 week
3330,FTM,Fremantle Line,Unknown,FTMDM 18.4250km - 18.5970km,16-Jan-24 Turnout 01/04/2024,Turnout / points,2024-02-25,2024-02-25,1,0,2024-02-25,1 week
3340,MTM,Midland Line,Unknown,MTMDN 13.2300km - 13.4000km N/A,02-Feb-24 Rail Internal Defect,Rail internal defect,2024-02-25,2024-02-25,1,0,2024-02-25,1 week
3341,MTM,Midland Line,Unknown,MTMUP 4.1740km - 4.4690km,19-Feb-24 New Turnout,Turnout / points,2024-02-25,2024-02-25,1,0,2024-02-25,1 week
3395,FTM,Fremantle Line,Unknown,FTMDM 18.4250km - 18.5970km,16-Jan-24 Turnout 15/03/2024,Turnout / points,2024-03-17,2024-03-17,1,0,2024-03-17,1 week
3399,FTM,Fremantle Line,Unknown,FTMUP 20.7650km - 20.8500km,14-Feb-24 Points Fault 0904/2024,Turnout / points,2024-03-17,2024-03-17,1,0,2024-03-17,1 week
3462,UNCLASSIFIED,Unclassified,Unknown,TBA FTMUP 6.9500km - 7.1700km,20-Mar-24 Rail Internal Defect,Rail internal defect,2024-04-14,2024-04-14,1,0,2024-04-14,1 week
3470,MTM,Midland Line,Unknown,MTMDN 4.1400km - 5.4300km,09-Apr-24 Turnout,Turnout / points,2024-04-14,2024-04-14,1,0,2024-04-14,1 week
3597,UNCLASSIFIED,Unclassified,Unknown,Damage FTMUP 6.8000km - 7.7900KM,04-Jun-24 Rail Internal Defect,Rail internal defect,2024-06-09,2024-06-09,1,0,2024-06-09,1 week
3598,FTM,Fremantle Line,Unknown,FTMDN 5.3000km - 5.2000,03-Jun-24 Track Defect Identified,Track condition,2024-06-09,2024-06-09,1,0,2024-06-09,1 week
3599,FTM,Fremantle Line,Unknown,FTMDN 6.9500km - 7.1700km N/A,21-Mar-22 Structural Integrity,Structures / bridge,2024-06-09,2024-06-09,1,0,2024-06-09,1 week
3606,MTM,Midland Line,Unknown,MTMUP 8.1000km - 8.2000km,06-May-24 Turnout,Turnout / points,2024-06-09,2024-06-09,1,0,2024-06-09,1 week
3612,UNCLASSIFIED,Unclassified,Unknown,ATUP 16.8200km - 17.000km,29-Oct-2 Track Geometry,Track geometry,2024-06-09,2024-06-09,1,0,2024-06-09,1 week
3631,UNCLASSIFIED,Unclassified,Unknown,ARMUP 16.8200km - 17.0000km N/A,29-Oct-21 Track Geometry,Track geometry,2024-06-16,2024-06-16,1,0,2024-06-16,1 week
3678,FTM,Fremantle Line,Unknown,FTMUP 15.7200km - 16.1750km,03-Jul-24 Miscellaneous,Other / review required,2024-07-07,2024-07-07,1,0,2024-07-07,1 week
3687,UNCLASSIFIED,Unclassified,Unknown,JTXBI 53.9470km - 54.1120km,31-May-24 Turnout,Turnout / points,2024-07-07,2024-07-07,1,0,2024-07-07,1 week
3775,FTM,Fremantle Line,Unknown,FTMDN 8.7620km - 8.8620km,6-Aug-24 Rail Surface Defect,Rail surface defect,2024-08-11,2024-08-11,1,0,2024-08-11,1 week
