tsr_master_id,first_seen_notice_date,last_seen_notice_date,weeks_seen,is_active,resolved_date,line_key,line_name,location_direction,affected_area,latest_location,latest_line_section,latest_distance_km,location_from_km,location_to_km,latest_stn_no,latest_max_speed,date_imposed_raw,date_imposed_normalised,latest_reason_raw,latest_reason_group,latest_date_cancelled_raw,latest_date_cancelled,master_fingerprint,row_quality,normalisation_notes
593,2020-11-21,2020-11-21,1,0,2020-11-21,MTM,Midland Line,Unknown,Bassendean 8 .150km Do wn,Bassendean 8 .150km Do wn,Bassendean 8 .150km Do wn,,,,,80km/h,80km/h 27,,March 2020 Turno ut defe cts &,Other / review required,Indefinite,2020-11-21,a253938aa90c9bbafbc14b0f6b0936b1861bd80a0e83e52454d03b399411e2a5,repaired,strategy=table_text; no_numeric_chainage_supplied; direction_not_inferred; date_imposed_not_normalised
594,2020-11-21,2020-11-21,2,0,2020-11-21,JTM,Joondalup Line,Unknown,Joondalup,Joondalup,Joondalup,,,,,80km/h,1 April 2020,2020-04-01,Turnout design issues,Turnout / points,Indefinite,2020-11-21,e156e4179667ba049b3a5496428750dbd74eead537b00b0a8b87655456a6bf7a,repaired,strategy=table_text; no_numeric_chainage_supplied; direction_not_inferred
596,2020-11-21,2020-11-21,1,0,2020-11-21,ATM,Armadale Line,Unknown,Beckenham M ain Armad ale,Beckenham M ain Armad ale,Beckenham M ain Armad ale,,,,,40km/h,5 June 2020,2020-06-05,Poi nts Def ect 2020,Other / review required,Poi nts Def ect 2020,2020-11-21,e337505f5ee42d78820603ab39831017c3741375c79acf641ce6a1a9d6acc948,repaired,strategy=table_text; no_numeric_chainage_supplied; direction_not_inferred
597,2020-11-21,2020-11-21,1,0,2020-11-21,FTM,Fremantle Line,Unknown,orth Fremantle 18 .920km D own,orth Fremantle 18 .920km D own,orth Fremantle 18 .920km D own,,,,,40km/h,6 July 2020,2020-07-06,Turn out def ects,Other / review required,26 February 20,2020-02-26,c3e988a48e479e1b3ade1109e7d25f228b5d85e26586a471d01bced985e5b2a9,repaired,strategy=table_text; no_numeric_chainage_supplied; direction_not_inferred
598,2020-11-21,2020-11-21,1,0,2020-11-21,UNCLASSIFIED,Unclassified,Unknown,Mount Lawley,Mount Lawley,Mount Lawley,,,,,60km/h,7 July 2020,2020-07-07,Exce ssive N oise,Other / review required,TBA,2020-11-21,f7757e489c71d60dc905b5fad59cd058593c93ddadab36da89fecae7971d50ec,repaired,strategy=table_text; no_numeric_chainage_supplied; line_not_inferred; direction_not_inferred
599,2020-11-21,2020-11-21,1,0,2020-11-21,JTM,Joondalup Line,Unknown,Whitfords 20 .150km D own,Whitfords 20 .150km D own,Whitfords 20 .150km D own,,,,,80km/h,80km/h 01,,August 2020 turnout design issues,Turnout / points,Indefinite,2020-11-21,745b7188059e4717020dce2f2017ba1c242e39518114d12e2bf3790f74d9a2e3,repaired,strategy=table_text; no_numeric_chainage_supplied; direction_not_inferred; date_imposed_not_normalised
600,2020-11-21,2020-11-21,1,0,2020-11-21,JTM,Joondalup Line,Unknown,Whitfords,Whitfords,Whitfords,,,,,80km/h,80km/h 01,,August 2020,Other / review required,Indefinite,2020-11-21,cdceac08e0df2efdd71f87cca41c3f4a4ae47c33a90f23db6f59dbf4bae1c933,repaired,strategy=table_text; no_numeric_chainage_supplied; direction_not_inferred; date_imposed_not_normalised
601,2020-11-28,2020-11-28,1,0,2020-11-28,FTM,Fremantle Line,Unknown,Fremantle - September Pedestrian Crossing Section,Fremantle - September Pedestrian Crossing Section,Fremantle - September Pedestrian Crossing Section,,,,,20km/h,,,Indefinite Robbs Jetty 2011 Review,Other / review required,,2020-11-28,9b8da14dc24961c538aba82aff70cd95f6ef80cf9f9d19f57da09714de132134,repaired,strategy=text_line; no_numeric_chainage_supplied; direction_not_inferred
602,2020-11-28,2020-11-28,1,0,2020-11-28,UNCLASSIFIED,Unclassified,Up,Mundijong to 40.874km to 40.747km Up 13 January,Mundijong to,Mundijong to,40.874km to 40.747km Up 13 January,40.747,40.874,,60km/h,,,Signalling Issues,Signals / train control,Indefinite,2020-11-28,52bafe15632886055b321e66dfa21b946eee71a7760c4044065f0c71aeeead70,repaired,strategy=text_line; line_not_inferred
606,2020-12-05,2020-12-12,2,0,2020-12-12,FTM,Fremantle Line,Unknown,Railway between (km) Speed Imposed Restriction Cancelled Fremantle - Section,Railway between (km) Speed Imposed Restriction Cancelled Fremantle - Section,Railway between (km) Speed Imposed Restriction Cancelled Fremantle - Section,,,,,20km/h,,,September Pedestrian Indefinite Robbs Jetty 2011 Crossing,Level crossing / pedestrian crossing,,2020-12-12,5e9f7222cc8ac922d3dbba83abffce20d4c69f4eb11500c403dc54d518b1a94c,repaired,strategy=text_line; no_numeric_chainage_supplied; direction_not_inferred
607,2020-12-05,2020-12-12,2,0,2020-12-12,UNCLASSIFIED,Unclassified,Unknown,Review Mundijong to 40.874km to,Review Mundijong to,Review Mundijong to,40.874km to,40.874,40.874,,60km/h,13 January,2020-01-13,Signalling,Signals / train control,Indefinite,2020-12-12,42d9a984601a03e69f8d43f3714bd8a0835ced2a66bdc670d0267de9989af580,repaired,strategy=text_line; line_not_inferred; direction_not_inferred
608,2020-12-05,2020-12-12,2,0,2020-12-12,MTM,Midland Line,Unknown,Direction Bassendean 7.900km to 8.150km,Direction Bassendean,Direction Bassendean,7.900km to 8.150km,7.9,8.15,,80km/h,27 March,2020-03-27,Turnout defects,Turnout / points,Indefinite,2020-12-12,7afccbd13d7190dac96583febdc620714ba8da76ace163fd8f9f9853d2e9c187,repaired,strategy=text_line; direction_not_inferred
609,2020-12-05,2021-02-27,11,0,2021-02-27,MTM,Midland Line,Unknown,issues Bassendean 8.200km to 8.100km,issues Bassendean,issues Bassendean,8.200km to 8.100km,8.1,8.2,,80km/h,05 April 2020,2020-04-05,Turnout design,Turnout / points,Indefinite,2021-02-27,c5a2f3ebfd3599189f90bf9d2267081ca5ba6f313e10548813c1b2fdef553ed1,repaired,strategy=text_line; direction_not_inferred
610,2020-12-05,2020-12-12,2,0,2020-12-12,JTMUP,Joondalup Line,Up,Up Main issues Joondalup 25.848km to,Up Main issues Joondalup,Up Main issues Joondalup,25.848km to,25.848,25.848,,80km/h,21 April 2020,2020-04-21,Turnout design,Turnout / points,Indefinite,2020-12-12,d1995f6153342851e9d6bd0831f80c82f1157f7d7e8d87684ce47caef47a5f2a,repaired,strategy=text_line
611,2020-12-05,2020-12-12,2,0,2020-12-12,JTMDN,Joondalup Line,Down,25.960km Down Main issues Joondalup 25.960km to 25.960km Down Main issues Joondalup 25.960km to,25.960km Down Main issues Joondalup 25.960km to,25.960km Down Main issues Joondalup 25.960km to,25.960km Down Main issues Joondalup 25.960km to,25.96,25.96,,80km/h,21 April 2020,2020-04-21,Turnout design,Turnout / points,Indefinite,2020-12-12,41355581be44b2b47215cb9ef19d9df97c10e01a16ca541f2b0a224a1022f4c5,repaired,strategy=text_line
612,2020-12-05,2020-12-12,2,0,2020-12-12,ATMUP,Armadale Line,Up,25.848km Up Main issues Beckenham 12.725km to 25.848km Up Main issues Beckenham 12.725km to,25.848km Up Main issues Beckenham 12.725km to,25.848km Up Main issues Beckenham 12.725km to,25.848km Up Main issues Beckenham 12.725km to,12.725,25.848,,40km/h,25 June,2020-06-25,Points Defect February 2021,Turnout / points,,2020-12-12,2f9d842084d93a3418ad23bac5ff338131c20c0670f87ed39201baf30cd3b718,repaired,strategy=text_line
613,2020-12-05,2020-12-12,2,0,2020-12-12,TTM,Thornlie Line,Unknown,0.660km Thornlie Line North 18.800 to 18.920km 0.660km Thornlie Line North 18.800 to 18.920km,0.660km Thornlie Line North 18.800 to 18.920km,0.660km Thornlie Line North 18.800 to 18.920km,0.660km Thornlie Line North 18.800 to 18.920km,0.66,18.8,,40km/h,6 July 2020,2020-07-06,Turnout defects,Turnout / points,26 February 2021,2021-02-26,5d9613d9fc104c0d241d263324c3a9ce51bdafd9d2dae3f70b5052af26106737,repaired,strategy=text_line; direction_not_inferred
614,2020-12-05,2020-12-12,2,0,2020-12-12,FTMDN,Fremantle Line,Down,Fremantle Down Main Mount 0.900 to 1.300km,Fremantle Down Main Mount,Fremantle Down Main Mount,0.900 to 1.300km,0.9,1.3,,60km/h,27 July 2020,2020-07-27,Excessive TBA Lawley Down Main Noise,Noise mitigation,,2020-12-12,ed69a955c9d9e5dfb27f5867154470151d5e9a65754c18887be444425d351992,repaired,strategy=text_line
615,2020-12-05,2021-10-30,45,0,2021-10-30,JTMDN,Joondalup Line,Down,Lawley Rail Internal Defect Whitfords 19.150 to 20.150km Down Main,Lawley Rail Internal Defect Whitfords,Lawley Rail Internal Defect Whitfords,19.150 to 20.150km Down Main,19.15,20.15,,80km/h,01 Aug 20,2020-08-01,Turnout defects &,Turnout / points,Indefinite,2021-10-30,9cd9f4470b26f110e16b69e36aa24b0abe4855bf650c4a264b5eb1f352a21c65,repaired,strategy=text_line
616,2020-12-05,2020-12-12,2,0,2020-12-12,JTM,Joondalup Line,Unknown,design issues Whitfords 20.150km to,design issues Whitfords,design issues Whitfords,20.150km to,20.15,20.15,,80km/h,01 August,2020-08-01,Turnout defects,Turnout / points,Indefinite,2020-12-12,0a173f6b65c7456511113f90f5ed0422518035275de70b8a2d3a9c9f835d54a5,repaired,strategy=text_line; direction_not_inferred
