source_pdf_id,notice_date,filename,url,status,tsr_table_count,tsr_row_count,rejected_row_count,artifact_row_count,extraction_strategy,last_error
24,2019-02-09,Weekly Notice No. 05 Week Ending- 09th February 2019__caf7030fbb.pdf,https://www.pta.wa.gov.au/Portals/15/AA_DOCUMENTS/About_us/Working with PTA/Safety resources/Weekly Notices/Previous Years/2019/Weekly Notice No. 05 Week Ending- 09th February 2019.pdf?ver=wNdnJQketP3ogE8p3idzkg%3d%3d,missing,0,0,0,0,,Unable to download PDF. Last error: 404 Not Found: https://www.pta.wa.gov.au/Portals/15/AA_DOCUMENTS/About_us/Working%20with%20PTA/Safety%20resources/Weekly%20Notices/Previous%20Years/2019/Weekly%20Notice%20No.%2005%20Week%20Ending%20-%2009th%20February%202019.pdf
25,2019-02-16,Weekly Notice No. 06 Week Ending- 16th February 2019__783dd781c2.pdf,https://www.pta.wa.gov.au/Portals/15/AA_DOCUMENTS/About_us/Working with PTA/Safety resources/Weekly Notices/Previous Years/2019/Weekly Notice No. 06 Week Ending- 16th February 2019.pdf?ver=izpD4hZk0bRYI5hoyhdBAg%3d%3d,missing,0,0,0,0,,Unable to download PDF. Last error: 404 Not Found: https://www.pta.wa.gov.au/Portals/15/AA_DOCUMENTS/About_us/Working%20with%20PTA/Safety%20resources/Weekly%20Notices/Previous%20Years/2019/Weekly%20Notice%20No.%2006%20Week%20Ending%20-%2016th%20February%202019.pdf
26,2019-02-23,Weekly Notice No. 07 Week Ending- 23rd February 2019__b04c916f7a.pdf,https://www.pta.wa.gov.au/Portals/15/AA_DOCUMENTS/About_us/Working with PTA/Safety resources/Weekly Notices/Previous Years/2019/Weekly Notice No. 07 Week Ending- 23rd February 2019.pdf?ver=aOmfd3-Nyq0SJfZvvNaaXw%3d%3d,missing,0,0,0,0,,Unable to download PDF. Last error: 404 Not Found: https://www.pta.wa.gov.au/Portals/15/AA_DOCUMENTS/About_us/Working%20with%20PTA/Safety%20resources/Weekly%20Notices/Previous%20Years/2019/Weekly%20Notice%20No.%2007%20Week%20Ending%20-%2023rd%20February%202019.pdf
27,2019-03-02,Weekly Notice No. 08 Week Ending- 2nd March 2019__95886d783c.pdf,https://www.pta.wa.gov.au/Portals/15/AA_DOCUMENTS/About_us/Working with PTA/Safety resources/Weekly Notices/Previous Years/2019/Weekly Notice No. 08 Week Ending- 2nd March 2019.pdf?ver=ixI2za1eymC8MaXC0OWoiw%3d%3d,missing,0,0,0,0,,Unable to download PDF. Last error: 404 Not Found: https://www.pta.wa.gov.au/Portals/15/AA_DOCUMENTS/About_us/Working%20with%20PTA/Safety%20resources/Weekly%20Notices/Previous%20Years/2019/Weekly%20Notice%20No.%2008%20Week%20Ending%20-%202nd%20March%202019.pdf
28,2019-03-09,Weekly Notice No. 09 Week Ending- 9th March 2019__fe26648671.pdf,https://www.pta.wa.gov.au/Portals/15/AA_DOCUMENTS/About_us/Working with PTA/Safety resources/Weekly Notices/Previous Years/2019/Weekly Notice No. 09 Week Ending- 9th March 2019.pdf?ver=1paLcakSldq_FcFF16xtbg%3d%3d,missing,0,0,0,0,,Unable to download PDF. Last error: 404 Not Found: https://www.pta.wa.gov.au/Portals/15/AA_DOCUMENTS/About_us/Working%20with%20PTA/Safety%20resources/Weekly%20Notices/Previous%20Years/2019/Weekly%20Notice%20No.%2009%20Week%20Ending%20-%209th%20March%202019.pdf
29,2019-03-23,Weekly Notice No. 11 Week Ending- 23rd March 2019__746a9bae35.pdf,https://www.pta.wa.gov.au/Portals/15/AA_DOCUMENTS/About_us/Working with PTA/Safety resources/Weekly Notices/Previous Years/2019/Weekly Notice No. 11 Week Ending- 23rd March 2019.pdf?ver=b6Yj_lVhU2T4VY4mtfwXEw%3d%3d,processed,2,4,11,4,table_lines:1;table_text:1,
30,2019-03-30,Weekly Notice No. 12 Week Ending- 30th March 2019__39ab861c86.pdf,https://www.pta.wa.gov.au/Portals/15/AA_DOCUMENTS/About_us/Working with PTA/Safety resources/Weekly Notices/Previous Years/2019/Weekly Notice No. 12 Week Ending- 30th March 2019.pdf?ver=K71Sy_5bpKrF-FtMbOmJMg%3d%3d,processed,2,2,10,2,table_lines:1;table_text:1,
31,2019-04-13,Weekly Notice No. 14 Week Ending- 13th April 2019__91eba11c60.pdf,https://www.pta.wa.gov.au/Portals/15/AA_DOCUMENTS/About_us/Working with PTA/Safety resources/Weekly Notices/Previous Years/2019/Weekly Notice No. 14 Week Ending- 13th April 2019.pdf?ver=-NNoT1x-heD6n-BSLw9P4Q%3d%3d,processed,2,2,10,2,table_lines:1;table_text:1,
32,2019-04-27,Weekly Notice No. 17 Week Ending- 27 April 2019__59e40c3465.pdf,https://www.pta.wa.gov.au/Portals/15/AA_DOCUMENTS/About_us/Working with PTA/Safety resources/Weekly Notices/Previous Years/2019/Weekly Notice No. 17 Week Ending- 27 April 2019.pdf?ver=i2ifZUaaZxHcw1ZodHqauw%3d%3d,processed,2,2,10,2,table_lines:1;table_text:1,
33,2019-05-04,Weekly Notice No. 18 Week Ending- 04 May 2019__a27e21e480.pdf,https://www.pta.wa.gov.au/Portals/15/AA_DOCUMENTS/About_us/Working with PTA/Safety resources/Weekly Notices/Previous Years/2019/Weekly Notice No. 18 Week Ending- 04 May 2019.pdf?ver=iQbkouoV31iggOZSfNjK7w%3d%3d,processed,2,2,10,2,table_lines:1;table_text:1,
